Model,Dataset,ModelType,Version,test_loss,test_mae,Budget
RegressionConv,W1_10,conv_100K,version_0,0.2544580101966858,0.4012315571308136,128
RegressionConv,W1_10,conv_100K,version_1,0.24746984243392944,0.3862988352775574,128
RegressionConv,W1_10,conv_100K,version_2,0.2358660101890564,0.38166630268096924,128
RegressionConv,W1_10,conv_100K,version_3,0.2782639265060425,0.4139125347137451,128
RegressionConv,W1_10,conv_100K,version_4,0.3186812102794647,0.4561641812324524,128
RegressionConv,W1_10,conv_100K,version_0,0.18385659158229828,0.3287484645843506,256
RegressionConv,W1_10,conv_100K,version_1,0.17563970386981964,0.3137351870536804,256
RegressionConv,W1_10,conv_100K,version_2,0.19335311651229858,0.3345223069190979,256
RegressionConv,W1_10,conv_100K,version_3,0.1579778641462326,0.2994973659515381,256
RegressionConv,W1_10,conv_100K,version_4,0.2851542532444,0.4038025736808777,256
RegressionConv,W1_10,conv_100K,version_0,1.8618831634521484,1.0670104026794434,32
RegressionConv,W1_10,conv_100K,version_1,1.2519999742507935,0.8728801608085632,32
RegressionConv,W1_10,conv_100K,version_2,2.6513733863830566,1.2745041847229004,32
RegressionConv,W1_10,conv_100K,version_3,1.1917835474014282,0.8435556292533875,32
RegressionConv,W1_10,conv_100K,version_4,1.564523696899414,0.9432198405265808,32
RegressionConv,W1_10,conv_100K,version_0,0.1432805210351944,0.28675806522369385,512
RegressionConv,W1_10,conv_100K,version_1,0.12692970037460327,0.27380695939064026,512
RegressionConv,W1_10,conv_100K,version_2,0.12068048864603043,0.2725326418876648,512
RegressionConv,W1_10,conv_100K,version_3,0.11723699420690536,0.2669426202774048,512
RegressionConv,W1_10,conv_100K,version_4,0.11867515742778778,0.27046626806259155,512
RegressionConv,W1_10,conv_100K,version_0,1.095455288887024,0.8010959029197693,64
RegressionConv,W1_10,conv_100K,version_1,2.010800361633301,1.1028276681900024,64
RegressionConv,W1_10,conv_100K,version_2,1.2937530279159546,0.9152514338493347,64
RegressionConv,W1_10,conv_100K,version_3,1.1025071144104004,0.8600559830665588,64
RegressionConv,W1_10,conv_100K,version_4,0.7306831479072571,0.6944007277488708,64
RegressionConv,W1_10,conv_2M,version_0,0.255160927772522,0.40528345108032227,128
