,Model,Budget,Dataset,Version,test_mse,test_mae
0,conv_100K,128,W1_10,0,0.2545,0.4018
1,conv_100K,128,W1_10,1,0.247,0.3863
2,conv_100K,128,W1_10,2,0.2343,0.3811
3,conv_100K,128,W1_10,3,0.2792,0.414
4,conv_100K,128,W1_10,4,0.3188,0.4564
5,conv_100K,256,W1_10,0,0.1838,0.3288
6,conv_100K,256,W1_10,1,0.1762,0.3137
7,conv_100K,256,W1_10,2,0.1935,0.3345
8,conv_100K,256,W1_10,3,0.1586,0.2997
9,conv_100K,256,W1_10,4,0.2873,0.4046
10,conv_100K,32,W1_10,0,1.8634,1.0674
11,conv_100K,32,W1_10,1,1.2491,0.8724
12,conv_100K,32,W1_10,2,2.6534,1.2749
13,conv_100K,32,W1_10,3,1.1927,0.8439
14,conv_100K,32,W1_10,4,1.5585,0.9423
15,conv_100K,512,W1_10,0,0.1439,0.287
16,conv_100K,512,W1_10,1,0.1271,0.2738
17,conv_100K,512,W1_10,2,0.1206,0.2726
18,conv_100K,512,W1_10,3,0.1174,0.267
19,conv_100K,512,W1_10,4,0.1191,0.2704
20,conv_100K,64,W1_10,0,1.0962,0.8015
21,conv_100K,64,W1_10,1,2.016,1.1031
22,conv_100K,64,W1_10,2,1.2944,0.9154
23,conv_100K,64,W1_10,3,1.0993,0.8584
24,conv_100K,64,W1_10,4,0.7298,0.694
25,conv_2M,128,W1_10,0,0.2556,0.4057
26,conv_2M,128,W1_10,1,0.3828,0.4824
27,conv_2M,128,W1_10,2,0.6936,0.6615
28,conv_2M,128,W1_10,3,0.4185,0.5152
29,conv_2M,128,W1_10,4,0.378,0.4614
30,conv_2M,256,W1_10,0,0.1682,0.3298
31,conv_2M,256,W1_10,1,0.2188,0.376
32,conv_2M,256,W1_10,2,0.2231,0.3805
33,conv_2M,256,W1_10,3,0.2735,0.4112
34,conv_2M,256,W1_10,4,0.2464,0.3917
35,conv_2M,32,W1_10,0,1.1453,0.8367
36,conv_2M,32,W1_10,1,1.3671,0.8892
37,conv_2M,32,W1_10,2,1.3268,0.8584
38,conv_2M,32,W1_10,3,2.0846,1.1334
39,conv_2M,32,W1_10,4,4.552,1.6694
40,conv_2M,512,W1_10,0,0.1296,0.2901
41,conv_2M,512,W1_10,1,0.1294,0.2885
42,conv_2M,512,W1_10,2,0.1102,0.2629
43,conv_2M,512,W1_10,3,0.1308,0.2875
44,conv_2M,512,W1_10,4,0.1641,0.3273
45,conv_2M,64,W1_10,0,1.4436,0.9627
46,conv_2M,64,W1_10,1,9.117,2.4032
47,conv_2M,64,W1_10,2,1.2203,0.8832
48,conv_2M,64,W1_10,3,0.9005,0.7583
49,conv_2M,64,W1_10,4,0.9607,0.7765
50,conv_500K,128,W1_10,0,0.2807,0.4223
51,conv_500K,128,W1_10,1,0.2415,0.3851
52,conv_500K,128,W1_10,2,0.2341,0.3859
53,conv_500K,128,W1_10,3,0.4209,0.5191
54,conv_500K,128,W1_10,4,0.2158,0.3688
55,conv_500K,256,W1_10,0,0.1472,0.3082
56,conv_500K,256,W1_10,1,0.1878,0.348
